Degree,ProgrammingExperience,PythonExperience,FLFamiliarity
Masters,5~10,3~4,2
Masters,>10,1~2,0
Masters,5~10,3~4,3
Undergrad,3~4,1~2,1
Undergrad,1~2,1~2,0
Masters,>10,1~2,1
Undergrad,5~10,1~2,2
Undergrad,1~2,1~2,1
Masters,>10,1~2,1
Masters,>10,3~4,3
Undergrad,3~4,3~4,3
Masters,5~10,1~2,2
Undergrad,1~2,1~2,1
Undergrad,5~10,<1,0
Undergrad,5~10,5~10,1
Masters,5~10,3~4,1
